ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Escherichia fergusonii,Escherichia fergusonii,474544,silva:HQ407221;ncbi:564;gbif:5427571;irmng:10694283
Escherichia hermannii,Atlantibacter hermannii,228615,silva:AB273738;ncbi:565;gbif:5427572;irmng:11384061
Escherichia marmotae,Escherichia marmotae,5587064,ncbi:1499973;gbif:8869052
Klebsiella aerogenes,Klebsiella aerogenes,355488,silva:GU265554;ncbi:548;gbif:3221992;irmng:11263648;irmng:10031484
Klebsiella michiganensis,Klebsiella michiganensis,981937,silva:JQ070300;ncbi:1134687;gbif:7847958
Klebsiella oxytoca,Klebsiella oxytoca,974249,silva:AF390083;ncbi:571;gbif:5427612;irmng:10707119
Klebsiella pneumoniae,Klebsiella pneumoniae,443477,silva:JN969315;ncbi:573;gbif:3221874
Klebsiella variicola,Klebsiella variicola,20649,silva:JN848785;ncbi:244366;gbif:5427611;gbif:5427618;irmng:10656674
Kluyvera ascorbata,Kluyvera ascorbata,440710,silva:AM933758;ncbi:51288;gbif:3221765;irmng:11114015
Kluyvera cryocrescens,Kluyvera cryocrescens,524765,silva:JF513193;ncbi:580;gbif:3221767;irmng:10796928
Mangrovibacter phragmitis,Mangrovibacter phragmitis,5906690,ncbi:1691903;gbif:9458474
Mangrovibacter plantisponsor,Mangrovibacter plantisponsor,43821,silva:EF643377;ncbi:451513;gbif:7594104
Mangrovibacter yixingensis,Mangrovibacter yixingensis,5628110,ncbi:1529639;gbif:8843404
Plesiomonas shigelloides,Plesiomonas shigelloides,940567,silva:GQ359962;ncbi:703;gbif:7705497;irmng:10436732
Pluralibacter gergoviae,Pluralibacter gergoviae,231389,silva:AB004748;ncbi:61647;gbif:3221987;irmng:10033031
Proteus mirabilis,Proteus mirabilis,524722,silva:AF008582;ncbi:584;gbif:5427601;irmng:11219851
Proteus penneri,Proteus penneri,112227,silva:DQ885258;ncbi:102862;gbif:5427605;irmng:10927876
Proteus vulgaris,Proteus vulgaris,524731,silva:FJ799903;ncbi:585;gbif:5427606;irmng:10252860
Pseudescherichia vulneris,Pseudescherichia vulneris,474557,silva:JQ958880;ncbi:566;gbif:5427573;irmng:11444955
Raoultella electrica,Raoultella electrica,895646,silva:AB762091;ncbi:1259973;gbif:7778003
Raoultella planticola,Raoultella planticola,814642,silva:EU360110;ncbi:575;gbif:3221740;irmng:10033220;irmng:11068694;irmng:10032881
Raoultella terrigena,Raoultella terrigena,974288,silva:JQ353812;ncbi:577;gbif:3221738;irmng:10698231;irmng:10540511
Salmonella bongori,Salmonella bongori,664514,silva:KC329819;ncbi:54736;gbif:5427596;irmng:10707125
Salmonella enterica,Salmonella enterica,338023,silva:AF276989;ncbi:28901;gbif:9701185
Samsonia erythrinae,Samsonia erythrinae,616076,silva:AF273037;ncbi:160434;gbif:3221882;irmng:10545606
Shigella boydii,Shigella boydii,332303,silva:HF558388;ncbi:621;gbif:3221855;irmng:10694262
Shigella dysenteriae,Shigella dysenteriae,332287,silva:JQ315914;ncbi:622;gbif:3221856;irmng:11035999
Shigella flexneri,Shigella flexneri,332280,silva:GQ304782;ncbi:623;gbif:3221854;irmng:10678672
Shigella sonnei,Shigella sonnei,332317,silva:X96964;ncbi:624;gbif:3221857;irmng:10032928
Shimwellia blattae,Shimwellia blattae,474533,ncbi:563;gbif:7740558;irmng:10032106
Erwinia amylovora,Erwinia amylovora,576181,silva:AF140339;ncbi:552;gbif:3222012;irmng:10529384
Erwinia psidii,Erwinia psidii,671959,silva:EU490597;ncbi:69224;gbif:3222004;irmng:10032486
Erwinia pyrifoliae,Erwinia pyrifoliae,985234,silva:AM980502;ncbi:79967;gbif:3222013;irmng:10032487
Erwinia tracheiphila,Erwinia tracheiphila,492526,silva:EU490598;ncbi:65700;gbif:3222009;irmng:11320758
Mixta calida,Mixta calida,185667,silva:GQ367478;ncbi:665913;gbif:8034850
Pantoea agglomerans,Pantoea agglomerans,1032074,silva:AB033602;ncbi:549;gbif:8905302;irmng:11186653;irmng:11070082;irmng:10035003;irmng:10436445
Pantoea stewartii,Pantoea stewartii,455670,silva:JQ659402;ncbi:66269;gbif:3221841;irmng:11320968
Edwardsi ellaictaluri,Edwardsiella ictaluri,174517,silva:EU231639;ncbi:67780;gbif:5427638;irmng:11091468
Edwardsi ellatarda,Edwardsiella tarda,857253,silva:FJ405301;ncbi:636;gbif:5427636;gbif:5427639;irmng:11191963;irmng:10863749
Hafnia alvei,Hafnia alvei,474474,silva:AB519795;ncbi:569;gbif:3222025;irmng:11180765
Arsenophonus nasoniae,Arsenophonus nasoniae,857269,silva:AY264674;ncbi:638;gbif:3221725;irmng:10550299
Morganella morganii,Morganella morganii,524741,silva:DQ885260;ncbi:582;gbif:5427640;irmng:11183672;irmng:10381781
Photorhabdus luminescens,Photorhabdus luminescens,140287,silva:X82250;ncbi:29488;irmng:10033920;irmng:11323721
Photorhabdus temperata,Photorhabdus temperata,1094889,silva:AJ007405;ncbi:574560;gbif:3221811;irmng:11027837
Providencia rettgeri,Providencia rettgeri,524707,silva:GQ923883;ncbi:587;gbif:3221719;irmng:10510519;irmng:10387575
Providencia sneebia,Providencia sneebia,7171,ncbi:516075;gbif:8028035
Providencia stuartii,Providencia stuartii,524784,silva:AF008581;ncbi:588;gbif:3221722;irmng:10032123
Xenorhabdus beddingii,Xenorhabdus beddingii,69504,silva:X82254;ncbi:40578;gbif:3221916;irmng:11161911
Xenorhabdus bovienii,Xenorhabdus bovienii,69553,silva:AB507818;ncbi:40576;gbif:3221919;irmng:10033662
Xenorhabdus budapestensis,Xenorhabdus budapestensis,924688,silva:AJ810293;ncbi:290110;gbif:3221918
Xenorhabdus cabanillasii,Xenorhabdus cabanillasii,846134,silva:DQ211711;ncbi:351673;gbif:7870866
Xenorhabdus doucetiae,Xenorhabdus doucetiae,846140,silva:DQ211702;ncbi:351671;gbif:7701788
Xenorhabdus eapokensis,Xenorhabdus eapokensis,5998968,ncbi:1873482;gbif:9451024
Xenorhabdus ehlersii,Xenorhabdus ehlersii,924682,silva:DQ202306;ncbi:290111;gbif:3221921
Xenorhabdus griffiniae,Xenorhabdus griffiniae,846128,silva:DQ211710;ncbi:351672;gbif:7945787
Xenorhabdus hominickii,Xenorhabdus hominickii,846173,silva:DQ205448;ncbi:351679;gbif:7556180
Xenorhabdus indica,Xenorhabdus indica,995570,silva:AM040494;ncbi:333964;gbif:7559833
Xenorhabdus innexi,Xenorhabdus innexi,398748,silva:AY521243;ncbi:290109;gbif:3221923
Xenorhabdus ishibashii,Xenorhabdus ishibashii,273953,silva:AB243427;ncbi:1034471;gbif:7957191
Xenorhabdus japonica,Xenorhabdus japonica,612309,silva:AB243426;ncbi:53341;gbif:7750891;irmng:10033663
Xenorhabdus khoisanae,Xenorhabdus khoisanae,348526,silva:HQ142625;ncbi:880157;gbif:8052211
Xenorhabdus koppenhoeferi,Xenorhabdus koppenhoeferi,795128,silva:DQ205450;ncbi:351659;gbif:8392996
Xenorhabdus kozodoii,Xenorhabdus kozodoii,846147,silva:DQ202308;ncbi:351676;gbif:7941968
Xenorhabdus mauleonii,Xenorhabdus mauleonii,846167,silva:DQ211715;ncbi:351675;gbif:8216151
Xenorhabdus miraniensis,Xenorhabdus miraniensis,846161,silva:DQ211713;ncbi:351674;gbif:8063927
Xenorhabdus poinarii,Xenorhabdus poinarii,69543,silva:D78010;ncbi:40577;gbif:3221914;irmng:10573424
Xenorhabdus szentirmaii,Xenorhabdus szentirmaii,924678,silva:DQ211712;ncbi:290112;gbif:3221926
Xenorhabdus vietnamensis,Xenorhabdus vietnamensis,795141,silva:DQ205447;ncbi:351656;gbif:8267527
Biostraticola tofi,Biostraticola tofi,266481,silva:AM774412;ncbi:466109;gbif:7722835
Brenneria salicis,Brenneria salicis,171245,silva:HM441252;ncbi:55214;gbif:3221943;irmng:11223396;irmng:10030987
Dickeya dadantii,Dickeya dadantii,54293,silva:AB713545;ncbi:204038;gbif:3221970
Dickeya solani,Dickeya solani,923426,ncbi:1089444;gbif:7564445
Pectobacterium atrosepticum,Pectobacterium atrosepticum,6942,silva:AF373178;ncbi:29471;gbif:3221946;irmng:10034656
Pectobacterium betavasculorum,Pectobacterium betavasculorum,745537,silva:AF373184;ncbi:55207;gbif:3221959;irmng:10034657
Pectobacterium carotovorum,Pectobacterium carotovorum,1000808,silva:GU129979;ncbi:554;gbif:8838874;irmng:11297615
Pectobacterium wasabiae,Pectobacterium wasabiae,745510,silva:JQ723958;ncbi:55208;gbif:3221950;irmng:10544498
Sodalis glossinidius,Sodalis glossinidius,257752,silva:AY861702;ncbi:63612;gbif:5427567;irmng:10736021
Ewingella americana,Ewingella americana,30945,silva:JF439581;ncbi:41202;gbif:5427619;irmng:10411371
Rouxiella chamberiensis,Rouxiella chamberiensis,5629300,ncbi:1513468;gbif:8261735
Serratia entomophila,Serratia entomophila,389573,silva:AB720153;ncbi:42906;gbif:3221761;irmng:10033371
Serratia marcescens,Serratia marcescens,433461,silva:EF102863;ncbi:615;worms:422818;gbif:3221754;irmng:10714910
Serratia proteamaculans,Serratia proteamaculans,409523,silva:AY902209;ncbi:28151;gbif:3221748;irmng:10540052
Serratia symbiotica,Serratia symbiotica,1056433,silva:FJ655530;ncbi:138074;gbif:8367549
Wigglesworthia glossinidia,Wigglesworthia glossinidia,189504,ncbi:51229;gbif:3222036;irmng:10034586
