Taxon,Enterobacterales,Gammaproteobacteria,Proteobacteria,Gracilicutes,Fusobacteria,Bacteria,Terrabacteria,Hydrobacteria
Enterobacteriaceae-[Shigella sonnei],1,1,1,,,1,,
Enterobacteriaceae-[Shimwellia blattae],1,1,1,,,1,,
Erwiniaceae-[Erwinia amylovora],1,1,1,,,1,,
Erwiniaceae-[Erwinia psidii],1,1,1,,,1,,
Erwiniaceae-[Erwinia pyrifoliae],1,1,1,,,1,,
Erwiniaceae-[Erwinia tracheiphila],1,1,1,,,1,,
Erwiniaceae-[Mixta calida],1,1,1,,,1,,
Erwiniaceae-[Pantoea agglomerans],1,1,1,,,1,,
Erwiniaceae-[Pantoea stewartii],1,1,1,,,1,,
Hafniaceae-[Edwardsiella ictaluri],1,1,1,,,1,,
Hafniaceae-[Edwardsiella tarda],1,1,1,,,1,,
Hafniaceae-[Hafnia alvei],1,1,1,,,1,,
Morganellaceae-[Arsenophonus nasoniae],1,1,1,,,1,,
Morganellaceae-[Morganella morganii],1,1,1,,,1,,
Morganellaceae-[Photorhabdus luminescens],1,1,1,,,1,,
Morganellaceae-[Photorhabdus temperata],1,1,1,,,1,,
Morganellaceae-[Providencia rettgeri],1,1,1,,,1,,
Morganellaceae-[Providencia sneebia],1,1,1,,,1,,
Morganellaceae-[Providencia stuartii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus beddingii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus bovienii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus budapestensis],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus cabanillasii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus doucetiae],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus eapokensis],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus ehlersii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus griffiniae],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus hominickii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus indica],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus innexi],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus ishibashii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus japonica],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus khoisanae],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus koppenhoeferi],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus kozodoii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus mauleonii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus miraniensis],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus poinarii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus szentirmaii],1,1,1,,,1,,
Morganellaceae-[Xenorhabdus vietnamensis],1,1,1,,,1,,
Pectobacteriaceae-[Biostraticolatofi],,,,,,,,
Pectobacteriaceae-[Brenneriasalicis],,,,,,,,
Pectobacteriaceae-[Dickeyadadantii],,,,,,,,
Pectobacteriaceae-[Dickeyasolani],,,,,,,,
Pectobacteriaceae-[Pectobacteriumatrosepticum],,,,,,,,
Pectobacteriaceae-[Pectobacteriumbetavasculorum],,,,,,,,
Pectobacteriaceae-[Pectobacteriumcarotovorum],,,,,,,,
Pectobacteriaceae-[Pectobacteriumwasabiae],,,,,,,,
Pectobacteriaceae-[Sodalisglossinidius],,,,,,,,
Yersiniaceae-[Ewingellaamericana],,,,,,,,
Yersiniaceae-[Rouxiellachamberiensis],,,,,,,,
Yersiniaceae-[Serratiaentomophila],,,,,,,,
Yersiniaceae-[Serratiamarcescens],,,,,,,,
Yersiniaceae-[Serratiaproteamaculans],,,,,,,,
Yersiniaceae-[Serratiasymbiotica],,,,,,,,
Z-Erwiniaceae-[Wigglesworthiaglossinidia],,,,,,,,
